# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
11806580.000000,-2.418272,-1.662612,1.039419,-1.352495,1.798446,1.078660,-0.546420,-0.000643,-0.000484,-0.000417,-0.001448,-0.000932,-0.000200,-0.001483,-0.017047,41.629986,-20.905655,-5.749025,0.882963,1.357833,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806581.000000,-2.418270,-1.662614,1.039419,-1.352490,1.798449,1.078660,-0.546417,0.000221,-0.000880,-0.000281,0.000705,0.000261,-0.000133,-0.000006,-0.044818,41.653790,-20.905655,-5.820436,0.859159,1.357833,0.034652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806582.000000,-2.418270,-1.662604,1.039424,-1.352489,1.798448,1.078661,-0.546421,0.000147,0.002847,0.001481,0.000470,-0.000030,0.000420,-0.001224,-0.044818,41.507000,-20.977066,-5.820436,0.864652,1.344100,0.067611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806583.000000,-2.418270,-1.662610,1.039421,-1.352493,1.798448,1.078660,-0.546413,0.000098,-0.000422,-0.000128,-0.000800,-0.000257,-0.000229,0.001863,-0.044818,41.606182,-20.929459,-5.772829,0.871061,1.357833,-0.004716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806584.000000,-2.418262,-1.662612,1.039419,-1.352494,1.798449,1.078659,-0.546422,0.010387,0.001482,-0.000643,0.001551,0.001388,-0.001339,0.000258,0.177350,41.530804,-20.905655,-5.721254,0.828947,1.389877,0.021835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806585.000000,-2.418255,-1.662615,1.039424,-1.352489,1.798447,1.078652,-0.546432,0.017996,-0.000654,0.002062,0.004591,-0.000807,-0.003201,-0.001815,1.244550,41.336407,-20.877884,-5.598268,0.751127,1.578475,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806586.000000,-2.418226,-1.662616,1.039435,-1.352487,1.798441,1.078653,-0.546459,0.026614,0.001877,0.007415,0.004260,-0.007021,0.000292,-0.010083,2.803693,40.943645,-20.854080,-5.352296,0.655912,1.779891,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806587.000000,-2.418177,-1.662614,1.039451,-1.352490,1.798425,1.078674,-0.546504,0.030708,0.003540,0.010785,-0.001009,-0.008661,0.007424,-0.023388,4.684186,40.404095,-20.806473,-5.007143,0.608304,1.865035,-0.031266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806588.000000,-2.418119,-1.662615,1.039473,-1.352504,1.798398,1.078724,-0.546558,0.036430,0.002850,0.016564,-0.005608,-0.016829,0.023284,-0.029704,6.592451,39.916119,-20.754898,-4.610414,0.620206,1.793624,-0.077042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806589.000000,-2.418022,-1.662612,1.039503,-1.352530,1.798356,1.078806,-0.546638,0.053818,0.002554,0.020909,-0.011952,-0.024610,0.045452,-0.047013,8.100019,39.400372,-20.707291,-4.213686,0.685209,1.559249,-0.023942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806590.000000,-2.417923,-1.662615,1.039539,-1.352576,1.798310,1.078909,-0.546727,0.065308,0.003004,0.026724,-0.024850,-0.033548,0.064042,-0.062233,9.587750,38.983807,-20.631912,-3.721742,0.715421,1.377059,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806591.000000,-2.417802,-1.662608,1.039590,-1.352625,1.798240,1.079021,-0.546834,0.084166,0.001830,0.035207,-0.036098,-0.049201,0.083068,-0.077497,10.750165,38.495831,-20.608109,-3.424196,0.745634,1.299239,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11806592.000000,-2.417673,-1.662601,1.039646,-1.352688,1.798165,1.079154,-0.546975,0.099118,0.002311,0.044460,-0.045249,-0.058143,0.098722,-0.103288,11.837201,38.079266,-20.560501,-3.102846,0.685209,1.312057,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
