# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
12410435.000000,-0.344679,0.544240,0.451051,-1.426811,-0.242495,1.916503,0.131705,-0.000155,-0.000572,-0.000738,0.000785,-0.000124,-0.000021,0.000613,0.105939,-38.413960,6.020309,19.316282,0.835355,1.370651,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410436.000000,-0.344676,0.544239,0.451054,-1.426811,-0.242495,1.916504,0.131704,0.000546,-0.000382,0.000593,0.000524,0.000155,0.000223,0.000171,0.078168,-38.413960,5.972702,19.316282,0.828947,1.364242,-0.149369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410437.000000,-0.344675,0.544244,0.451049,-1.426810,-0.242497,1.916504,0.131699,0.000364,0.001416,-0.001297,0.000349,-0.000779,-0.000088,-0.001581,0.078168,-38.485371,6.044113,19.316282,0.852750,1.370651,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410438.000000,-0.344679,0.544239,0.451052,-1.426809,-0.242495,1.916503,0.131706,-0.000407,-0.001283,0.000233,0.000790,0.000125,-0.000296,0.001387,0.105939,-38.390156,5.996506,19.292479,0.835355,1.377059,-0.169511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410439.000000,-0.344701,0.544243,0.451051,-1.426816,-0.242494,1.916503,0.131705,-0.018426,0.011741,-0.011138,-0.007411,-0.006955,0.000786,0.007207,-0.266986,-37.850605,5.405380,19.094114,0.763029,1.350509,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410440.000000,-0.344715,0.544233,0.451036,-1.426820,-0.242476,1.916499,0.131725,-0.022824,0.015294,-0.019288,-0.016748,0.002817,-0.003231,0.015672,-1.750750,-35.696369,3.862106,18.106260,0.410551,1.324874,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410441.000000,-0.344721,0.544243,0.450962,-1.426840,-0.242471,1.916493,0.131752,-0.012975,0.016738,-0.040624,-0.020979,0.004640,-0.002546,0.020726,-3.956561,-32.466999,2.116501,16.348753,0.040677,1.324874,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410442.000000,-0.344734,0.544283,0.450868,-1.426862,-0.242513,1.916490,0.131786,-0.006849,0.018476,-0.053672,-0.022653,-0.010030,-0.003449,0.024987,-6.083025,-28.963886,0.156662,13.754148,0.088285,1.364242,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410443.000000,-0.344761,0.544357,0.450750,-1.426929,-0.242560,1.916493,0.131821,-0.005279,0.021041,-0.064288,-0.033533,-0.022816,-0.000236,0.022397,-7.642169,-25.782124,-1.537369,11.405516,0.076383,1.429244,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410444.000000,-0.344795,0.544450,0.450634,-1.427014,-0.242620,1.916552,0.131861,-0.008290,0.031392,-0.072082,-0.042611,-0.033862,0.021756,0.027851,-8.483233,-23.139912,-2.767227,9.179869,0.100187,1.096908,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410445.000000,-0.344814,0.544572,0.450520,-1.427094,-0.242719,1.916691,0.131901,-0.008674,0.052181,-0.075833,-0.048369,-0.054798,0.061804,0.029841,-8.832355,-21.156269,-3.354386,6.981993,0.362943,0.226241,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410446.000000,-0.344827,0.544693,0.450429,-1.427194,-0.242812,1.916854,0.131929,-0.008577,0.065263,-0.076201,-0.059297,-0.064679,0.099463,0.026796,-8.582416,-19.541584,-3.453568,5.176878,0.470060,-0.534562,0.048385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410447.000000,-0.344852,0.544802,0.450369,-1.427293,-0.242895,1.917008,0.131979,-0.012431,0.077120,-0.068782,-0.069380,-0.070671,0.118513,0.032175,-7.693743,-18.192707,-3.282974,3.621702,0.428861,-0.821122,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410448.000000,-0.344862,0.544902,0.450338,-1.427402,-0.242982,1.917148,0.132027,-0.013040,0.079003,-0.060588,-0.081822,-0.073457,0.130690,0.033352,-6.753497,-16.895405,-3.013199,2.558470,0.339139,-0.651749,0.001693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410449.000000,-0.344854,0.544982,0.450303,-1.427524,-0.243066,1.917312,0.132085,-0.009769,0.076850,-0.053413,-0.094910,-0.075064,0.141623,0.040547,-5.912432,-15.479084,-2.346695,1.864195,0.201810,-0.359696,-0.031266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12410450.000000,-0.344853,0.545042,0.450274,-1.427672,-0.243127,1.917513,0.132150,-0.011030,0.067307,-0.050134,-0.110806,-0.065500,0.154054,0.050724,-4.968218,-13.888203,-1.636551,1.618224,-0.085665,-0.138139,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
