# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
12046971.000000,2.313463,-0.961767,-1.822718,-1.385859,-0.923956,1.666934,0.446176,-0.000098,0.001151,0.000968,-0.000244,-0.000645,-0.000647,-0.000447,0.276533,35.460857,19.544785,12.171202,1.026700,1.422836,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046972.000000,2.313465,-0.961772,-1.822720,-1.385856,-0.923955,1.666936,0.446173,0.000492,-0.000347,0.000088,0.000951,0.000486,0.000314,-0.001247,0.252729,35.508465,19.568588,12.123594,1.001981,1.402694,-0.130143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046973.000000,2.313463,-0.961769,-1.822723,-1.385855,-0.923954,1.666932,0.446178,-0.000229,0.000326,-0.001055,0.001191,-0.000117,-0.000028,0.000864,0.276533,35.484661,19.616196,12.099791,1.013883,1.409103,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046974.000000,2.313467,-0.961776,-1.822718,-1.385858,-0.923956,1.666934,0.446180,0.000961,-0.001546,0.000967,-0.000877,-0.000078,-0.000290,0.001322,0.228925,35.560040,19.544785,12.171202,1.013883,1.416427,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046975.000000,2.313452,-0.961773,-1.822720,-1.385857,-0.923953,1.666935,0.446172,-0.012660,-0.009868,-0.009275,-0.001234,-0.001208,0.001028,0.005823,-0.144000,34.996685,19.029037,12.198973,0.918668,1.383468,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046976.000000,2.313435,-0.961744,-1.822732,-1.385859,-0.923942,1.666933,0.446193,-0.029340,-0.009741,-0.023887,-0.002493,-0.002422,0.002618,0.011564,-2.000689,32.767071,17.164413,12.270384,0.571683,1.331283,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046977.000000,2.313425,-0.961696,-1.822790,-1.385858,-0.923919,1.666919,0.446223,-0.030467,0.002859,-0.041146,-0.002312,0.004268,-0.000188,0.016720,-5.440325,28.898968,14.339706,12.298155,-0.007845,1.383468,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046978.000000,2.313385,-0.961690,-1.822903,-1.385841,-0.923932,1.666900,0.446257,-0.027620,0.010728,-0.059698,0.004305,-0.001273,-0.004228,0.025003,-9.399676,24.741253,11.027023,12.048216,-0.336520,1.494247,-0.031266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046979.000000,2.313310,-0.961736,-1.823043,-1.385831,-0.923992,1.666905,0.446315,-0.027950,-0.006793,-0.072397,0.006007,-0.021552,0.008192,0.039041,-13.188434,21.166729,7.515976,11.778440,-0.228488,1.487838,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12046980.000000,2.313211,-0.961834,-1.823201,-1.385843,-0.924074,1.666956,0.446381,-0.039597,-0.026637,-0.085923,-0.001285,-0.040029,0.028436,0.050533,-16.457476,18.254742,4.326279,11.726866,-0.007845,1.188461,-0.004716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
