# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
15823048.000000,-0.344860,0.543939,0.451231,-1.426807,-0.241982,1.915998,0.131413,0.000688,0.000479,-0.000680,-0.000714,-0.000040,-0.000048,0.000624,0.427289,-38.144184,5.726730,19.316282,0.273221,2.014266,0.054794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823049.000000,-0.344862,0.543937,0.451231,-1.426804,-0.241982,1.915996,0.131412,0.000459,-0.000238,-0.000454,0.000638,0.000177,-0.000269,0.000179,0.427289,-38.120380,5.726730,19.268675,0.267728,2.020675,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823050.000000,-0.344865,0.543939,0.451233,-1.426804,-0.241981,1.915999,0.131412,-0.001457,0.000398,0.000254,0.000425,0.000355,-0.000180,0.000119,0.502668,-38.144184,5.702927,19.268675,0.261320,2.020675,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823051.000000,-0.344865,0.543939,0.451233,-1.426804,-0.241983,1.916000,0.131415,-0.000322,0.000266,0.000170,0.000283,-0.000441,-0.000120,0.001063,0.474897,-38.144184,5.702927,19.268675,0.279630,2.020675,0.034652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823052.000000,-0.344881,0.543946,0.451235,-1.426806,-0.241982,1.916001,0.131415,-0.015516,0.012382,-0.010183,-0.006524,-0.001473,0.001378,-0.000512,0.054365,-37.604633,5.064194,19.018736,0.183500,1.981307,0.067611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823053.000000,-0.344896,0.543932,0.451209,-1.426811,-0.241968,1.916000,0.131434,-0.021725,0.017889,-0.021353,-0.013244,-0.002217,0.003055,0.007762,-1.429400,-35.378986,3.592331,18.007078,-0.174471,1.923629,0.100570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823054.000000,-0.344905,0.543944,0.451142,-1.426831,-0.241966,1.916002,0.131472,-0.012072,0.019659,-0.033111,-0.022174,-0.002967,0.004444,0.015816,-3.631243,-32.074238,1.775314,16.277342,-0.557162,1.858627,0.087753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823055.000000,-0.344913,0.543985,0.451048,-1.426858,-0.242019,1.916002,0.131523,-0.002946,0.019906,-0.044086,-0.022330,-0.018016,0.001539,0.027294,-5.785479,-28.523518,-0.212296,13.777952,-0.569064,1.897079,0.054794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823056.000000,-0.344931,0.544068,0.450923,-1.426928,-0.242084,1.916004,0.131572,0.001239,0.027997,-0.061451,-0.032937,-0.032224,0.001894,0.031654,-7.495379,-25.417133,-1.906326,11.429319,-0.611178,2.007858,0.133529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823057.000000,-0.344957,0.544164,0.450794,-1.427009,-0.242179,1.916072,0.131639,0.002407,0.038954,-0.072770,-0.041721,-0.053751,0.023510,0.044820,-8.483233,-22.747150,-3.013199,9.179869,-0.479342,1.670028,0.081344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823058.000000,-0.344978,0.544289,0.450682,-1.427090,-0.242308,1.916218,0.131695,0.000246,0.064299,-0.075372,-0.046724,-0.080197,0.071096,0.049059,-8.756976,-20.838886,-3.675736,6.958189,-0.168978,0.824081,0.160079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823059.000000,-0.344998,0.544410,0.450585,-1.427200,-0.242427,1.916385,0.131757,-0.004872,0.082002,-0.076805,-0.061843,-0.092744,0.107295,0.053052,-8.388019,-19.271809,-3.747147,5.327635,-0.037142,0.076095,0.225997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823060.000000,-0.345018,0.544524,0.450517,-1.427306,-0.242546,1.916551,0.131836,-0.011468,0.086948,-0.070475,-0.070175,-0.098078,0.131229,0.060697,-7.519183,-17.827717,-3.524979,3.867674,-0.007845,-0.274552,0.180221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823061.000000,-0.345029,0.544625,0.450479,-1.427421,-0.242660,1.916722,0.131908,-0.014075,0.090854,-0.056554,-0.081317,-0.103428,0.143220,0.063929,-6.503558,-16.578022,-3.207596,2.780638,-0.072848,-0.190324,0.193038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823062.000000,-0.345012,0.544711,0.450444,-1.427536,-0.242765,1.916915,0.131996,-0.007829,0.090259,-0.052120,-0.091716,-0.099545,0.157190,0.069212,-5.761675,-15.233112,-2.568863,1.963377,-0.240389,0.050460,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823063.000000,-0.345018,0.544772,0.450419,-1.427687,-0.242860,1.917147,0.132070,-0.011912,0.081053,-0.047815,-0.111038,-0.093829,0.180123,0.068437,-4.722247,-13.666035,-1.906326,1.717406,-0.497653,0.258285,0.160079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823064.000000,-0.345025,0.544810,0.450395,-1.427865,-0.242949,1.917407,0.132158,-0.013879,0.068354,-0.046530,-0.135493,-0.091146,0.205002,0.073329,-3.682818,-11.852985,-1.243790,1.963377,-0.730197,0.408431,0.074935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823065.000000,-0.345031,0.544842,0.450358,-1.428064,-0.243052,1.917687,0.132233,-0.015317,0.054487,-0.047168,-0.157267,-0.088889,0.231542,0.076117,-2.742571,-10.115314,-0.482071,2.459288,-0.724703,0.589706,0.120712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823066.000000,-0.345042,0.544885,0.450310,-1.428270,-0.243173,1.917983,0.132325,-0.017559,0.052728,-0.050027,-0.174493,-0.098574,0.245924,0.078056,-1.873736,-8.722797,0.275680,2.951231,-0.521456,0.811263,0.054794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823067.000000,-0.345069,0.544940,0.450257,-1.428481,-0.243293,1.918313,0.132397,-0.021943,0.056446,-0.053316,-0.192824,-0.106384,0.269990,0.070202,-0.885882,-7.572285,0.965988,3.324156,-0.282504,0.901900,0.114303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15823068.000000,-0.345106,0.545022,0.450209,-1.428709,-0.243406,1.918657,0.132475,-0.031288,0.067473,-0.052429,-0.205926,-0.107724,0.286324,0.070568,0.105939,-6.810566,1.382553,3.593931,-0.145175,0.954086,0.140853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
