# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
11640937.000000,-2.418265,-1.662584,1.039419,-1.352483,1.798424,1.078675,-0.546411,0.000117,0.000441,-0.000446,0.000075,-0.000270,-0.000306,0.000530,-0.068621,41.554607,-20.905655,-5.820436,0.913175,1.344100,0.021835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640938.000000,-2.418268,-1.662584,1.039421,-1.352483,1.798425,1.078675,-0.546410,-0.001685,0.000294,0.000259,0.000050,0.000057,-0.000204,0.000591,0.006757,41.554607,-20.929459,-5.820436,0.906766,1.344100,0.015426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640939.000000,-2.418268,-1.662586,1.039419,-1.352483,1.798423,1.078678,-0.546413,-0.001123,-0.000361,-0.000384,0.000034,-0.000403,0.000576,-0.000590,0.006757,41.578411,-20.905655,-5.820436,0.918668,1.324874,0.041976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640940.000000,-2.418268,-1.662586,1.039423,-1.352484,1.798425,1.078673,-0.546414,-0.000192,-0.000240,0.000858,-0.000534,0.000410,-0.000091,0.000353,-0.017047,41.578411,-20.953262,-5.796632,0.900358,1.337692,0.021835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640941.000000,-2.418263,-1.662586,1.039421,-1.352484,1.798426,1.078674,-0.546417,0.001078,-0.000160,0.000015,-0.000356,0.000477,-0.000298,-0.001223,-0.068621,41.578411,-20.929459,-5.796632,0.894864,1.344100,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640942.000000,-2.418259,-1.662585,1.039421,-1.352482,1.798425,1.078675,-0.546411,0.006302,-0.001486,0.005792,0.002371,-0.009348,0.008505,-0.006528,0.228925,41.507000,-20.905655,-5.772829,0.876554,1.370651,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640943.000000,-2.418252,-1.662587,1.039421,-1.352480,1.798424,1.078666,-0.546432,0.015510,-0.004255,0.005787,0.004864,-0.009107,0.004390,-0.015543,1.268354,41.237225,-20.830276,-5.626039,0.786832,1.552840,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640944.000000,-2.418222,-1.662592,1.039431,-1.352475,1.798429,1.078666,-0.546459,0.022090,-0.004558,0.007693,0.004980,-0.006366,0.005101,-0.019695,2.827497,40.872234,-20.830276,-5.399904,0.625699,1.786300,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640945.000000,-2.418173,-1.662589,1.039453,-1.352481,1.798413,1.078686,-0.546499,0.027574,-0.001872,0.013247,-0.001127,-0.009126,0.010746,-0.028118,4.707990,40.356487,-20.877884,-5.030946,0.584501,1.884261,-0.077042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640946.000000,-2.418111,-1.662587,1.039470,-1.352496,1.798385,1.078737,-0.546559,0.035330,-0.000547,0.012846,-0.008965,-0.018730,0.026201,-0.042042,6.564680,39.840740,-20.731094,-4.634218,0.608304,1.806442,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640947.000000,-2.418017,-1.662586,1.039499,-1.352527,1.798350,1.078818,-0.546631,0.048184,0.002600,0.015523,-0.022454,-0.025798,0.047564,-0.053751,8.123822,39.352764,-20.683487,-4.166078,0.637601,1.578475,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640948.000000,-2.417921,-1.662585,1.039535,-1.352568,1.798300,1.078917,-0.546725,0.067223,0.003637,0.022637,-0.031070,-0.036677,0.065237,-0.068950,9.587750,38.912395,-20.608109,-3.745546,0.679716,1.402694,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640949.000000,-2.417805,-1.662580,1.039580,-1.352621,1.798236,1.079027,-0.546836,0.081197,0.005331,0.033472,-0.042469,-0.049567,0.082590,-0.084121,10.825543,38.424419,-20.512894,-3.376589,0.715421,1.344100,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640950.000000,-2.417676,-1.662582,1.039641,-1.352687,1.798163,1.079162,-0.546975,0.093121,0.005101,0.044995,-0.050453,-0.060476,0.100262,-0.106204,11.936383,38.130840,-20.536697,-3.027467,0.649503,1.324874,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640951.000000,-2.417533,-1.662569,1.039707,-1.352755,1.798070,1.079309,-0.547129,0.108812,0.008785,0.051106,-0.056003,-0.078191,0.117502,-0.121810,12.876630,37.686504,-20.461319,-2.833071,0.554288,1.435653,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640952.000000,-2.417378,-1.662560,1.039793,-1.352843,1.797951,1.079481,-0.547299,0.121954,0.009003,0.063039,-0.066119,-0.092621,0.141151,-0.134530,13.721662,37.345318,-20.560501,-2.658510,0.476469,1.546432,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640953.000000,-2.417207,-1.662547,1.039893,-1.352939,1.797818,1.079692,-0.547470,0.138140,0.009291,0.074605,-0.078243,-0.107312,0.164962,-0.150666,14.463544,37.004131,-20.659683,-2.583132,0.369352,1.611434,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640954.000000,-2.417021,-1.662526,1.040005,-1.353055,1.797660,1.079934,-0.547650,0.155745,0.011919,0.086268,-0.091270,-0.127254,0.190752,-0.160578,15.030866,36.563763,-20.754898,-2.483949,0.381254,1.611434,-0.089860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640955.000000,-2.416818,-1.662510,1.040132,-1.353193,1.797473,1.080203,-0.547844,0.170343,0.011528,0.098760,-0.109359,-0.145052,0.212686,-0.174082,15.479169,36.218609,-20.877884,-2.313356,0.446256,1.526290,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640956.000000,-2.416594,-1.662491,1.040273,-1.353344,1.797271,1.080495,-0.548020,0.191824,0.011827,0.111560,-0.124716,-0.169458,0.232265,-0.180708,15.748944,35.853619,-21.024673,-2.190370,0.488370,1.461288,-0.089860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640957.000000,-2.416356,-1.662473,1.040431,-1.353519,1.797044,1.080807,-0.548206,0.210298,0.014108,0.127388,-0.140398,-0.187512,0.258810,-0.182428,15.998883,35.536236,-21.199234,-2.015810,0.584501,1.467696,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11640958.000000,-2.416105,-1.662456,1.040599,-1.353699,1.796800,1.081148,-0.548407,0.223986,0.014816,0.135513,-0.157707,-0.207120,0.285273,-0.186688,16.268660,35.266460,-21.322220,-2.015810,0.584501,1.461288,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
