# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
12851100.000000,-2.415666,-1.662607,1.042878,-1.356064,1.795469,1.081427,-0.548611,-0.000405,0.000378,-0.000252,-0.000358,0.000367,0.000053,-0.001618,0.054365,41.554607,-21.052444,-5.749025,0.799650,1.305648,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851101.000000,-2.415666,-1.662610,1.042879,-1.356061,1.795467,1.081427,-0.548604,-0.000270,-0.000954,0.000389,0.000888,-0.000399,0.000035,0.001363,0.054365,41.606182,-21.076248,-5.796632,0.817045,1.305648,-0.004716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851102.000000,-2.415661,-1.662607,1.042883,-1.356064,1.795469,1.081427,-0.548613,0.001491,0.000570,0.001373,-0.000512,0.000175,0.000023,-0.001058,-0.017047,41.554607,-21.123856,-5.749025,0.805143,1.305648,0.048385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851103.000000,-2.415666,-1.662609,1.042879,-1.356062,1.795469,1.081427,-0.548609,-0.000677,-0.000177,-0.000198,0.000222,0.000320,0.000016,-0.000197,0.054365,41.578411,-21.076248,-5.772829,0.799650,1.305648,0.034652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851104.000000,-2.415660,-1.662608,1.042876,-1.356063,1.795466,1.081425,-0.548612,0.009314,-0.004585,-0.001339,0.001448,0.000010,-0.001414,-0.008612,0.304304,41.483196,-21.024673,-5.697450,0.805143,1.344100,0.009017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851105.000000,-2.415658,-1.662617,1.042877,-1.356056,1.795467,1.081420,-0.548626,0.013853,-0.010970,0.000601,0.005072,-0.000703,-0.002283,-0.009943,1.391340,41.360210,-20.953262,-5.598268,0.698026,1.519881,-0.023942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851106.000000,-2.415628,-1.662612,1.042888,-1.356058,1.795460,1.081417,-0.548649,0.019551,-0.003487,0.003823,0.005196,-0.002199,0.000303,-0.015309,2.978254,40.844463,-20.953262,-5.253114,0.608304,1.760665,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851107.000000,-2.415581,-1.662612,1.042908,-1.356063,1.795438,1.081434,-0.548693,0.022415,-0.005174,0.009223,0.003027,-0.006162,0.007379,-0.026504,4.858747,40.332684,-20.953262,-4.907960,0.589994,1.877853,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851108.000000,-2.415519,-1.662613,1.042928,-1.356076,1.795411,1.081480,-0.548749,0.029847,-0.001230,0.013643,-0.005205,-0.015263,0.024699,-0.033375,6.739240,39.840740,-20.830276,-4.535036,0.613798,1.812850,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851109.000000,-2.415431,-1.662612,1.042960,-1.356103,1.795365,1.081557,-0.548825,0.043001,-0.001330,0.018699,-0.012089,-0.023883,0.043019,-0.049197,8.349957,39.328960,-20.782669,-4.118471,0.691617,1.584884,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851110.000000,-2.415326,-1.662612,1.042998,-1.356144,1.795316,1.081649,-0.548923,0.057447,0.000662,0.025769,-0.023234,-0.032587,0.059603,-0.065019,9.782147,38.864788,-20.731094,-3.697939,0.709928,1.396285,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12851111.000000,-2.415213,-1.662610,1.043041,-1.356196,1.795251,1.081760,-0.549039,0.072866,0.001876,0.032439,-0.029100,-0.043395,0.073349,-0.081776,11.019940,38.396648,-20.608109,-3.376589,0.721830,1.305648,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
