# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
12697940.000000,-2.415661,-1.662618,1.042888,-1.356084,1.795447,1.081415,-0.548598,0.000330,-0.000127,0.001137,0.000618,0.000184,0.000146,0.001333,0.030561,41.578411,-21.100052,-5.749025,0.840848,1.318465,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697941.000000,-2.415664,-1.662616,1.042882,-1.356085,1.795448,1.081415,-0.548607,-0.000894,0.000472,-0.001008,-0.000238,-0.000115,0.000097,-0.000807,0.078168,41.554607,-21.024673,-5.721254,0.847257,1.318465,0.034652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697942.000000,-2.415665,-1.662613,1.042881,-1.356085,1.795450,1.081415,-0.548603,-0.000039,0.001429,-0.001230,0.000491,0.000161,-0.000173,-0.000063,0.054365,41.507000,-21.000870,-5.749025,0.840848,1.324874,0.021835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697943.000000,-2.415662,-1.662618,1.042884,-1.356088,1.795448,1.081414,-0.548602,0.000531,-0.000718,0.000385,-0.000322,-0.000571,-0.000352,-0.000042,0.030561,41.578411,-21.052444,-5.721254,0.859159,1.331283,0.021835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697944.000000,-2.415655,-1.662618,1.042882,-1.356089,1.795449,1.081414,-0.548609,0.009995,-0.001483,-0.000394,0.004333,0.000942,-0.001218,-0.009703,0.276533,41.483196,-21.024673,-5.649843,0.823453,1.357833,0.028243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697945.000000,-2.415651,-1.662623,1.042882,-1.356085,1.795448,1.081409,-0.548617,0.017044,-0.003543,-0.002491,0.006174,0.003747,0.002346,-0.009480,1.367536,41.312603,-20.929459,-5.499086,0.739225,1.526290,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697946.000000,-2.415620,-1.662625,1.042899,-1.356081,1.795444,1.081408,-0.548649,0.021675,-0.003030,0.004852,0.005487,0.002006,-0.001165,-0.017249,2.950483,40.896038,-20.953262,-5.253114,0.625699,1.754256,-0.023942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697947.000000,-2.415577,-1.662622,1.042915,-1.356087,1.795427,1.081425,-0.548686,0.027196,-0.000491,0.005790,-0.001256,-0.002188,0.005272,-0.019734,4.834943,40.380291,-20.905655,-4.856386,0.584501,1.871444,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697948.000000,-2.415516,-1.662618,1.042938,-1.356101,1.795396,1.081471,-0.548749,0.031467,0.002023,0.008827,-0.008302,-0.013078,0.021617,-0.034936,6.763044,39.793133,-20.830276,-4.487428,0.632108,1.812850,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697949.000000,-2.415422,-1.662618,1.042964,-1.356129,1.795353,1.081550,-0.548826,0.046852,0.001664,0.013443,-0.020956,-0.025848,0.039217,-0.050618,8.298383,39.281353,-20.731094,-4.066896,0.679716,1.584884,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697950.000000,-2.415324,-1.662620,1.043005,-1.356169,1.795302,1.081646,-0.548918,0.055999,0.002579,0.022443,-0.029403,-0.039393,0.056131,-0.064147,9.782147,38.837017,-20.707291,-3.670168,0.709928,1.377059,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697951.000000,-2.415210,-1.662619,1.043050,-1.356217,1.795236,1.081751,-0.549045,0.069749,0.002075,0.030662,-0.039302,-0.050230,0.071982,-0.083728,11.047711,38.448223,-20.631912,-3.376589,0.757535,1.312057,-0.031266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697952.000000,-2.415073,-1.662613,1.043103,-1.356277,1.795159,1.081882,-0.549178,0.091662,0.005634,0.039968,-0.047158,-0.063249,0.090648,-0.098742,12.011762,38.031658,-20.536697,-3.079042,0.691617,1.318465,-0.077042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697953.000000,-2.414939,-1.662606,1.043168,-1.356347,1.795073,1.082022,-0.549344,0.101587,0.004507,0.049943,-0.054845,-0.075522,0.109681,-0.120150,13.074994,37.638897,-20.461319,-2.833071,0.554288,1.454879,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697954.000000,-2.414778,-1.662592,1.043250,-1.356432,1.794959,1.082199,-0.549540,0.121236,0.007645,0.061325,-0.067321,-0.088138,0.130805,-0.147478,13.868451,37.222332,-20.437515,-2.583132,0.500272,1.572067,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697955.000000,-2.414611,-1.662574,1.043352,-1.356529,1.794834,1.082402,-0.549753,0.136951,0.013066,0.074726,-0.076736,-0.098329,0.153947,-0.168052,14.586530,36.805767,-20.584305,-2.460146,0.344633,1.605026,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12697956.000000,-2.414423,-1.662553,1.043469,-1.356643,1.794678,1.082642,-0.550010,0.154479,0.017123,0.087770,-0.087957,-0.116000,0.184518,-0.198015,15.153852,36.389202,-20.754898,-2.313356,0.315336,1.559249,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
